UUID,parliament-iso3166_2,unparliamentary-language,example-enforcement,example-not-enforced,added-date
ad078fd5-d0fb-4bed-856a-8896f13a0a87,GB-UKM,bastard,https://www.theyworkforyou.com/debates/?id=2017-02-01a.1030.0#g1055.3,https://www.theyworkforyou.com/mp/22825/john_bastard/dartmouth,2017-02-26
2eac744e-7db9-4003-86d0-a15b6527fb1a,GB-UKM,blackguard,,,2017-02-26
797f29d3-0a10-49f8-9650-fe6cdf1c8bcd,GB-UKM,coward,,,2017-02-26
853ff00c-f90e-45d3-b146-8cd544d2490a,GB-UKM,deceptive,http://www.bbc.co.uk/news/uk-northern-ireland-23260146,,2017-02-26
f05beb0b-5c1c-472f-b039-0e4ef6f02b5d,GB-UKM,dodgy,https://www.buzzfeed.com/emilyashton/dodgy-dave?utm_term=.trjX34wAx#.alK10kBve,https://www.theyworkforyou.com/debates/?id=2015-02-11d.769.0,2017-02-26
92960731-0b85-4d6e-8fcb-983059e16788,GB-UKM,drunk,,,2017-02-26
22a2e6b5-a38c-4389-bab8-44a00b65af3f,GB-UKM,falsehoods,https://www.youtube.com/watch?v=kAfTHrtjvPg,,2017-02-26
d68bd1b2-ce1c-484e-bfeb-7309c2354bf0,GB-UKM,git,,,2017-02-26
45b7852b-ece4-4100-b198-557fd8b2fb3b,GB-UKM,guttersnipe,,,2017-02-26
74e562ec-ead0-48c0-8ff8-bf669bfc7b39,GB-UKM,hooligan,,,2017-02-26
4e290718-83fb-4f77-87dd-a0d220e25f8a,GB-UKM,hypocrite,,,2017-02-26
214d2261-00a9-4550-b12f-bf650b9f4759,GB-UKM,idiot,,,2017-02-26
c5ab70cc-02d9-4eae-a3ed-ea07f0533f74,GB-UKM,ignoramus,,,2017-02-26
430b5a19-fea0-4799-b469-2329443f8a91,GB-UKM,liar,,,2017-02-26
e3c91bdb-0535-4e88-82d5-53e9afacd8ea,GB-UKM,pipsqueak,http://www.dailymail.co.uk/news/article-1293158/MPs-round-pipsqueak-Michael-Gove-row-school-building-blunder.html,,2017-02-26
e6858cb6-0f8c-449c-8fc2-b63b6e1e0817,GB-UKM,rat,,,2017-02-26
3d030592-3fa6-4211-80dd-16edc92f68c6,GB-UKM,swine,,,2017-02-26
aea89cff-435e-489f-a973-1b55dfdd7e0c,GB-UKM,stoolpigeon,,,2017-02-26
0c99212b-3b5f-4032-8694-9ccfe71080a3,GB-UKM,tart,,,2017-02-26
2749fb8e-2d38-4554-bdd4-62e1d671fb42,GB-UKM,traitor,,,2017-02-26
a76a4dd2-ef35-4e78-a6c3-c0e4333dd23f,GB-UKM,sod,,,2017-02-26
bdf931d2-e99b-429a-af25-c553954bb752,GB-UKM,slimy,,,2017-02-26
691c384c-5e16-4923-87b5-d864c5dbc24b,GB-UKM,wart,,,2017-02-26
